Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part Number
EPD_C6,92.9,19.5,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C7,91.1,19.5,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C8,89.4,19.4,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
EPD_C9,87.9,19.4,90,1uF/50V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
IC1,49.65,98.98,0,BD5229G-TR,SOT95P280X125-5N,
IC4,124.88,42.2,0,XC6220A331MR-G,SOT95P280X120-5N,
J1,88,14,0,FH34SRJ-24S-0.5SH_99_,FH34SRJ24S05SH99,
J2,166.67,54.26,90,SAMACSYS_PARTS_USB4110-GF-A,SAMACSYS_PARTS_USB4110GFA,
J3,167.09,19.19,90,QWIIC_RIGHT_ANGLE,JST04_1MM_RA,
J4,9.17,88.93,270,112A-TAAR-R03_ATTEND,112ATAARR03ATTEND,
L1,85.43,32.85,270,744043680IND_4828-WE-TPC_WRE,IND_4828-WE-TPC_WRE,
MCP73831,126.38,52.1,90,ESP32_WROVER_SPARKFUN-IC-POWER_MCP73831,ESP32_WROVER_SPARKFUN-IC-POWER_SOT23-5,
PFMF.050.1,153.01,41.84,180,ESP32C6_VARISTORCN1812,ESP32C6_VARISTOR_CT/CN1812,
Q1,134.26,48.26,0,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q2,81.43,27.51,270,20V/4.2A/52mΩ/1.4W,ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3,
Q3,70.09,19.79,90,SI1308EDL-T1-GE3,SOT65P210X110-3N,
R1,19.28,40.72,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R10,4,100,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_BAT,119.86,50.86,0,200,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH,151.96,6.48,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PINH1,86.52,46.79,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R1_PWRUSB,117.92,41.95,270,100K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2,64.65,14.22,0,2.2,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-PINH1,89.15,60.16,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB,150.45,50.1,270,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2-USB1,157.36,52.12,90,5k1,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_BAT,124.86,48.15,90,2K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R2_PINH,150.93,6.48,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R3,72.79,21.1,90,0.47,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R4,67.43,12.69,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R5,37.2,45.3,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R6,45.8,26.6,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R7,49.1,26.3,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R8,51.4,26.6,90,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
R9,73.5,18.4,0,10K,ESP32_WROVER_EAGLE-LTSPICE_R0402,
RESET_BUTTON,48.99,108.45,180,BUTTON_CUSYOMV1,MYBUTTON,
R_BOOT,67.35,107.68,90,10k,ESP32_WROVER_EAGLE-LTSPICE_R0402,
